cnt,date,year,month,day,janken,special,season,int_gu,int_ch,int_pa
1,1991-11-10,1991,11,10,1,,,1,1,1
2,1991-11-17,1991,11,17,0,,,2,1,2
3,1991-11-24,1991,11,24,0,,,1,2,3
4,1991-12-01,1991,12,1,2,,,1,3,4
5,1991-12-08,1991,12,8,1,,,2,4,1
6,1991-12-15,1991,12,15,0,,,3,1,2
7,1991-12-22,1991,12,22,2,,,1,2,3
8,1991-12-29,1991,12,29,0,,,2,3,1
9,1992-01-05,1992,1,5,1,,1,1,4,2
10,1992-01-12,1992,1,12,2,,,2,1,3
11,1992-01-19,1992,1,19,0,,,3,2,1
12,1992-01-26,1992,1,26,1,,,1,3,2
13,1992-02-02,1992,2,2,1,,,2,1,3
14,1992-02-09,1992,2,9,2,,,3,1,4
15,1992-02-16,1992,2,16,0,,,4,2,1
16,1992-02-23,1992,2,23,1,,,1,3,2
17,1992-03-01,1992,3,1,2,,,2,1,3
18,1992-03-08,1992,3,8,0,,,3,2,1
19,1992-03-15,1992,3,15,1,,,1,3,2
20,1992-03-22,1992,3,22,2,,,2,1,3
21,1992-03-29,1992,3,29,0,,,3,2,1
22,1992-04-05,1992,4,5,0,,1,1,3,2
23,1992-04-12,1992,4,12,1,,,1,4,3
24,1992-04-19,1992,4,19,2,,,2,1,4
25,1992-04-26,1992,4,26,0,,,3,2,1
26,1992-05-03,1992,5,3,2,,,1,3,2
27,1992-05-10,1992,5,10,1,,,2,4,1
28,1992-05-17,1992,5,17,0,,,3,1,2
29,1992-05-24,1992,5,24,1,,,1,2,3
30,1992-05-31,1992,5,31,2,,,2,1,4
31,1992-06-07,1992,6,7,0,,,3,2,1
32,1992-06-14,1992,6,14,0,,,1,3,2
33,1992-06-21,1992,6,21,2,,,1,4,3
34,1992-06-28,1992,6,28,2,,,2,5,1
35,1992-07-05,1992,7,5,0,,1,3,6,1
36,1992-07-12,1992,7,12,1,,,1,7,2
37,1992-07-19,1992,7,19,2,1,,2,1,3
38,1992-07-26,1992,7,26,0,,,3,2,1
39,1992-08-02,1992,8,2,1,,,1,3,2
40,1992-08-09,1992,8,9,0,,,2,1,3
41,1992-08-16,1992,8,16,2,,,1,2,4
42,1992-08-23,1992,8,23,2,,,2,3,1
43,1992-08-30,1992,8,30,1,,,3,4,1
44,1992-09-06,1992,9,6,1,,,4,1,2
45,1992-09-13,1992,9,13,0,,,5,1,3
46,1992-09-20,1992,9,20,2,,,1,2,4
47,1992-09-27,1992,9,27,1,,,2,3,1
48,1992-10-04,1992,10,4,0,,1,3,1,2
49,1992-10-11,1992,10,11,1,,,1,2,3
50,1992-10-18,1992,10,18,1,,,2,1,4
51,1992-10-25,1992,10,25,2,,,3,1,5
52,1992-11-01,1992,11,1,0,,,4,2,1
53,1992-11-08,1992,11,8,2,,,1,3,2
54,1992-11-15,1992,11,15,2,,,2,4,1
55,1992-11-22,1992,11,22,1,,,3,5,1
56,1992-11-29,1992,11,29,0,,,4,1,2
57,1992-12-06,1992,12,6,2,,,1,2,3
58,1992-12-13,1992,12,13,0,,,2,3,1
59,1992-12-20,1992,12,20,1,,,1,4,2
60,1992-12-27,1992,12,27,0,,,2,1,3
61,1993-01-03,1993,1,3,2,,1,1,2,4
62,1993-01-10,1993,1,10,2,,,2,3,1
63,1993-01-17,1993,1,17,0,,,3,4,1
64,1993-01-24,1993,1,24,1,,,1,5,2
65,1993-01-31,1993,1,31,0,,,2,1,3
66,1993-02-07,1993,2,7,1,,,1,2,4
67,1993-02-14,1993,2,14,0,,,2,1,5
68,1993-02-21,1993,2,21,2,,,1,2,6
69,1993-02-28,1993,2,28,0,,,2,3,1
70,1993-03-07,1993,3,7,0,,,1,4,2
71,1993-03-14,1993,3,14,1,,,1,5,3
72,1993-03-21,1993,3,21,2,,,2,1,4
73,1993-03-28,1993,3,28,1,,,3,2,1
74,1993-04-04,1993,4,4,2,,1,4,1,2
75,1993-04-11,1993,4,11,2,,,5,2,1
76,1993-04-18,1993,4,18,0,,,6,3,1
77,1993-04-25,1993,4,25,1,,,1,4,2
78,1993-05-02,1993,5,2,0,,,2,1,3
79,1993-05-09,1993,5,9,1,,,1,2,4
80,1993-05-16,1993,5,16,1,,,2,1,5
81,1993-05-23,1993,5,23,2,,,3,1,6
82,1993-05-30,1993,5,30,2,,,4,2,1
83,1993-06-06,1993,6,6,1,,,5,3,1
84,1993-06-13,1993,6,13,0,,,6,1,2
85,1993-06-20,1993,6,20,0,,,1,2,3
86,1993-06-27,1993,6,27,0,,,1,3,4
87,1993-07-04,1993,7,4,0,,1,1,4,5
88,1993-07-11,1993,7,11,1,,,1,5,6
89,1993-07-18,1993,7,18,2,,,2,1,7
90,1993-08-01,1993,8,1,0,,,3,2,1
91,1993-08-08,1993,8,8,1,,,1,3,2
92,1993-08-15,1993,8,15,0,,,2,1,3
93,1993-08-22,1993,8,22,2,,,1,2,4
94,1993-08-29,1993,8,29,1,,,2,3,1
95,1993-09-05,1993,9,5,1,,,3,1,2
96,1993-09-12,1993,9,12,2,,,4,1,3
97,1993-09-19,1993,9,19,0,,,5,2,1
98,1993-09-26,1993,9,26,0,,,1,3,2
99,1993-10-03,1993,10,3,1,,1,1,4,3
100,1993-10-10,1993,10,10,2,,,2,1,4
101,1993-10-17,1993,10,17,0,,,3,2,1
102,1993-10-24,1993,10,24,0,,,1,3,2
103,1993-10-31,1993,10,31,2,,,1,4,3
104,1993-11-07,1993,11,7,1,,,2,5,1
105,1993-11-14,1993,11,14,1,,,3,1,2
106,1993-11-21,1993,11,21,2,,,4,1,3
107,1993-11-28,1993,11,28,0,,,5,2,1
108,1993-12-05,1993,12,5,2,,,1,3,2
109,1993-12-12,1993,12,12,1,,,2,4,1
110,1993-12-19,1993,12,19,0,,,3,1,2
111,1993-12-26,1993,12,26,0,,,1,2,3
112,1994-01-02,1994,1,2,2,,1,1,3,4
113,1994-01-09,1994,1,9,0,,,2,4,1
114,1994-01-16,1994,1,16,1,,,1,5,2
115,1994-01-23,1994,1,23,0,,,2,1,3
116,1994-01-30,1994,1,30,1,,,1,2,4
117,1994-02-06,1994,2,6,2,,,2,1,5
118,1994-02-13,1994,2,13,2,,,3,2,1
119,1994-02-20,1994,2,20,1,,,4,3,1
120,1994-02-27,1994,2,27,0,,,5,1,2
121,1994-03-06,1994,3,6,0,,,1,2,3
122,1994-03-13,1994,3,13,2,,,1,3,4
123,1994-03-20,1994,3,20,2,,,2,4,1
124,1994-03-27,1994,3,27,1,,,3,5,1
125,1994-04-03,1994,4,3,1,,1,4,1,2
126,1994-04-10,1994,4,10,2,,,5,1,3
127,1994-04-17,1994,4,17,0,,,6,2,1
128,1994-04-24,1994,4,24,1,,,1,3,2
129,1994-05-01,1994,5,1,0,,,2,1,3
130,1994-05-08,1994,5,8,2,,,1,2,4
131,1994-05-15,1994,5,15,2,,,2,3,1
132,1994-05-22,1994,5,22,1,,,3,4,1
133,1994-05-29,1994,5,29,0,,,4,1,2
134,1994-06-05,1994,6,5,1,,,1,2,3
135,1994-06-12,1994,6,12,2,,,2,1,4
136,1994-06-19,1994,6,19,1,,,3,2,1
137,1994-06-26,1994,6,26,0,,,4,1,2
138,1994-07-03,1994,7,3,2,,1,1,2,3
139,1994-07-10,1994,7,10,1,,,2,3,1
140,1994-07-17,1994,7,17,1,,,3,1,2
141,1994-07-31,1994,7,31,2,,,4,1,3
142,1994-08-07,1994,8,7,0,,,5,2,1
143,1994-08-14,1994,8,14,0,,,1,3,2
144,1994-08-21,1994,8,21,1,,,1,4,3
145,1994-08-28,1994,8,28,2,,,2,1,4
146,1994-09-04,1994,9,4,0,,,3,2,1
147,1994-09-11,1994,9,11,2,,,1,3,2
148,1994-09-18,1994,9,18,1,,,2,4,1
149,1994-09-25,1994,9,25,0,,,3,1,2
150,1994-10-02,1994,10,2,0,,1,1,2,3
151,1994-10-09,1994,10,9,2,,,1,3,4
152,1994-10-23,1994,10,23,2,,,2,4,1
153,1994-10-30,1994,10,30,1,,,3,5,1
154,1994-11-06,1994,11,6,0,,,4,1,2
155,1994-11-13,1994,11,13,1,,,1,2,3
156,1994-11-20,1994,11,20,2,,,2,1,4
157,1994-11-27,1994,11,27,1,,,3,2,1
158,1994-12-04,1994,12,4,0,,,4,1,2
159,1994-12-11,1994,12,11,2,,,1,2,3
160,1994-12-18,1994,12,18,0,,,2,3,1
161,1994-12-25,1994,12,25,2,,,1,4,2
162,1995-01-08,1995,1,8,1,,1,2,5,1
163,1995-01-15,1995,1,15,0,,,3,1,2
164,1995-01-22,1995,1,22,2,,,1,2,3
165,1995-01-29,1995,1,29,0,,,2,3,1
166,1995-02-05,1995,2,5,1,,,1,4,2
167,1995-02-12,1995,2,12,1,,,2,1,3
168,1995-02-19,1995,2,19,2,,,3,1,4
169,1995-02-26,1995,2,26,1,,,4,2,1
170,1995-03-05,1995,3,5,0,,,5,1,2
171,1995-03-12,1995,3,12,2,,,1,2,3
172,1995-03-19,1995,3,19,2,,,2,3,1
173,1995-03-26,1995,3,26,1,,,3,4,1
174,1995-04-02,1995,4,2,0,,1,4,1,2
175,1995-04-09,1995,4,9,2,,,1,2,3
176,1995-04-16,1995,4,16,1,,,2,3,1
177,1995-04-23,1995,4,23,0,,,3,1,2
178,1995-04-30,1995,4,30,1,,,1,2,3
